model,training_authority,device,precision,recall,f1,map50,map50_95,short_ap50_95,inference_latency_ms,parameters,model_size_mb,training_seconds,best_checkpoint,test_split_used
original_grouped_v1_yolov8n,grouped-v1,cuda:0,0.976060161333017,0.9731973937184848,0.9746266753308936,0.9817995241078652,0.5550610839560335,0.5668159921751807,2.637215105377557,3006818,5.968240737915039,14266.4,__SOURCE_ROOT__\runs\original_grouped_v1_yolov8n\weights\best.pt,False
enhanced_trial044_gpu_adaptation,Trial044 OHEM train view plus standard validation,cuda:0,0.9941921338900849,0.9919237804014038,0.993056661796487,0.9928284787248205,0.7584823398872506,0.7635431173424589,4.771176156978149,3006818,6.037271499633789,7401.07,__SOURCE_ROOT__\runs\enhanced_trial044_gpu_adaptation\weights\best.pt,False
