epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5840,1.44028,0.66872,1.02349,0.97218,0.97376,0.98387,0.53488,1.53504,0.59181,1.09158,0.0005941,0.0005941,0.0005941
43,5987.62,1.42572,0.65871,1.0192,0.97125,0.9667,0.98086,0.53574,1.52652,0.59479,1.08924,0.0005842,0.0005842,0.0005842
44,6135.39,1.43471,0.6667,1.02084,0.97275,0.96332,0.97633,0.53311,1.53705,0.59773,1.09409,0.0005743,0.0005743,0.0005743
45,6282.1,1.41249,0.65093,1.01544,0.97076,0.9762,0.97944,0.53783,1.51531,0.58223,1.08286,0.0005644,0.0005644,0.0005644
46,6429.91,1.40843,0.64856,1.009,0.96975,0.97272,0.9808,0.52784,1.55873,0.5937,1.09989,0.0005545,0.0005545,0.0005545
47,6582.07,1.39923,0.64698,1.00907,0.96756,0.9692,0.97892,0.52534,1.55579,0.59882,1.09939,0.0005446,0.0005446,0.0005446
48,6730.9,1.39243,0.64679,1.00768,0.97175,0.96572,0.98085,0.53329,1.52916,0.59297,1.08783,0.0005347,0.0005347,0.0005347
49,6878.95,1.39393,0.64312,1.0092,0.97457,0.9737,0.98194,0.53782,1.52367,0.57871,1.08754,0.0005248,0.0005248,0.0005248
50,7024.21,1.3875,0.63656,0.99959,0.96796,0.97173,0.98019,0.53845,1.51527,0.5829,1.0857,0.0005149,0.0005149,0.0005149
51,7172.45,1.36516,0.6322,1.00167,0.97587,0.97108,0.98239,0.54389,1.5067,0.56984,1.08356,0.000505,0.000505,0.000505
52,7322.64,1.37157,0.6287,1.00043,0.97252,0.96866,0.97786,0.5302,1.53731,0.58462,1.095,0.0004951,0.0004951,0.0004951
53,7472.12,1.36926,0.63016,1.00161,0.97368,0.96767,0.97977,0.53899,1.51793,0.57457,1.08474,0.0004852,0.0004852,0.0004852
54,7612.92,1.3512,0.62444,0.99662,0.9706,0.97221,0.98046,0.53752,1.52172,0.57958,1.08862,0.0004753,0.0004753,0.0004753
55,7763.21,1.34621,0.62162,0.99617,0.96968,0.97564,0.98219,0.54442,1.50357,0.56552,1.08281,0.0004654,0.0004654,0.0004654
56,7914.04,1.34104,0.61054,0.99402,0.96743,0.97954,0.98066,0.54747,1.49677,0.5612,1.08353,0.0004555,0.0004555,0.0004555
57,8061.21,1.32609,0.60605,0.98667,0.97611,0.96651,0.97975,0.54377,1.4982,0.5666,1.08297,0.0004456,0.0004456,0.0004456
58,8209.48,1.33119,0.61266,0.98971,0.97191,0.97724,0.9835,0.54727,1.49064,0.55984,1.08304,0.0004357,0.0004357,0.0004357
59,8358.32,1.31744,0.60592,0.98609,0.97073,0.97408,0.98093,0.5469,1.49139,0.5569,1.08292,0.0004258,0.0004258,0.0004258
60,8506.73,1.30089,0.60069,0.98201,0.97186,0.97342,0.97981,0.53966,1.50109,0.56692,1.08646,0.0004159,0.0004159,0.0004159
61,8656.83,1.31036,0.59968,0.98276,0.97445,0.97087,0.97827,0.54663,1.48878,0.56413,1.08307,0.000406,0.000406,0.000406
62,8808.28,1.28752,0.58881,0.97537,0.97412,0.9725,0.98094,0.54191,1.49985,0.56031,1.08897,0.0003961,0.0003961,0.0003961
63,8958.84,1.29464,0.59088,0.97949,0.97436,0.97159,0.98032,0.54285,1.5037,0.56033,1.08748,0.0003862,0.0003862,0.0003862
64,9105.22,1.28848,0.59138,0.97835,0.96941,0.97556,0.98013,0.54592,1.48769,0.55324,1.08094,0.0003763,0.0003763,0.0003763
65,9254,1.27705,0.5884,0.97266,0.97306,0.97613,0.98087,0.54588,1.48365,0.55214,1.08506,0.0003664,0.0003664,0.0003664
66,9398.41,1.27203,0.57706,0.96584,0.97104,0.9751,0.98077,0.54603,1.48014,0.55331,1.08079,0.0003565,0.0003565,0.0003565
67,9540.66,1.26527,0.58247,0.97131,0.97202,0.97278,0.97973,0.54729,1.48422,0.55196,1.08237,0.0003466,0.0003466,0.0003466
68,9688.27,1.26262,0.57905,0.96629,0.97229,0.9751,0.98155,0.5474,1.47858,0.54715,1.0825,0.0003367,0.0003367,0.0003367
69,9834.17,1.25404,0.57473,0.96936,0.97436,0.97477,0.98232,0.54881,1.48189,0.54425,1.08195,0.0003268,0.0003268,0.0003268
70,9981.19,1.24323,0.57323,0.96695,0.97404,0.97424,0.9823,0.5503,1.48054,0.54403,1.08395,0.0003169,0.0003169,0.0003169
71,10130.8,1.23575,0.56524,0.96472,0.97213,0.97718,0.98337,0.54735,1.48314,0.54416,1.0866,0.000307,0.000307,0.000307
72,10280.8,1.22391,0.56273,0.95993,0.97098,0.97719,0.98235,0.54707,1.48703,0.54589,1.08646,0.0002971,0.0002971,0.0002971
73,10427.4,1.23217,0.56475,0.96036,0.9708,0.97433,0.9825,0.54696,1.47984,0.5429,1.08581,0.0002872,0.0002872,0.0002872
74,10576.7,1.22407,0.56224,0.9631,0.97037,0.97555,0.97954,0.54784,1.47324,0.54305,1.08196,0.0002773,0.0002773,0.0002773
75,10720.9,1.20946,0.55534,0.95837,0.97196,0.97445,0.98043,0.54724,1.47249,0.54193,1.08466,0.0002674,0.0002674,0.0002674
76,10870.5,1.20534,0.55398,0.95825,0.97471,0.97382,0.98073,0.54839,1.47095,0.54089,1.08512,0.0002575,0.0002575,0.0002575
77,11018.9,1.21251,0.55634,0.95507,0.97341,0.97508,0.98076,0.55033,1.46588,0.54316,1.08235,0.0002476,0.0002476,0.0002476
78,11168.3,1.19495,0.5502,0.95087,0.9729,0.97504,0.98166,0.55164,1.46432,0.53881,1.08264,0.0002377,0.0002377,0.0002377
79,11320.1,1.18811,0.5499,0.95052,0.97195,0.97615,0.97993,0.55157,1.46376,0.5392,1.08337,0.0002278,0.0002278,0.0002278
80,11464.3,1.18382,0.54644,0.9485,0.97379,0.97964,0.98189,0.55129,1.46638,0.53549,1.08477,0.0002179,0.0002179,0.0002179
81,11607.3,1.17004,0.54013,0.94384,0.97273,0.97535,0.98134,0.55092,1.4648,0.53658,1.08383,0.000208,0.000208,0.000208
82,11757.6,1.17463,0.54516,0.94363,0.97246,0.97674,0.98197,0.55198,1.46512,0.53424,1.08422,0.0001981,0.0001981,0.0001981
83,11903.4,1.1729,0.54037,0.94536,0.97311,0.97589,0.98262,0.55073,1.46491,0.53372,1.08465,0.0001882,0.0001882,0.0001882
84,12048.9,1.15232,0.53257,0.94331,0.9734,0.97681,0.98275,0.55151,1.46207,0.53357,1.08408,0.0001783,0.0001783,0.0001783
85,12198.2,1.15392,0.53438,0.93941,0.97464,0.97539,0.98196,0.55144,1.46094,0.53405,1.08356,0.0001684,0.0001684,0.0001684
86,12345.2,1.14814,0.52753,0.93839,0.9756,0.9759,0.98306,0.55409,1.45864,0.53131,1.08447,0.0001585,0.0001585,0.0001585
87,12496.4,1.13374,0.52699,0.9348,0.975,0.97703,0.98262,0.55268,1.45514,0.53053,1.0835,0.0001486,0.0001486,0.0001486
88,12641.7,1.14742,0.52874,0.93773,0.97424,0.97469,0.98296,0.5527,1.45372,0.53009,1.08342,0.0001387,0.0001387,0.0001387
89,12787.6,1.13496,0.52312,0.93792,0.97508,0.97465,0.9817,0.55065,1.46086,0.53044,1.0856,0.0001288,0.0001288,0.0001288
90,12934.3,1.13419,0.52551,0.93121,0.9745,0.97616,0.98192,0.55141,1.45812,0.53115,1.08589,0.0001189,0.0001189,0.0001189
91,13069.7,1.109,0.49195,0.95762,0.97337,0.97416,0.98116,0.55019,1.46027,0.5351,1.08798,0.000109,0.000109,0.000109
92,13202.8,1.08434,0.47769,0.95064,0.97102,0.97789,0.98162,0.55025,1.46074,0.53368,1.08757,9.91e-05,9.91e-05,9.91e-05
93,13337.2,1.07742,0.47607,0.94783,0.97239,0.97701,0.98216,0.55205,1.4578,0.53182,1.08811,8.92e-05,8.92e-05,8.92e-05
94,13465.7,1.06473,0.4708,0.9481,0.97767,0.97238,0.98204,0.55279,1.45317,0.53057,1.0873,7.93e-05,7.93e-05,7.93e-05
95,13599.2,1.06727,0.47089,0.94847,0.97504,0.97622,0.98203,0.55288,1.4552,0.52987,1.089,6.94e-05,6.94e-05,6.94e-05
96,13735.5,1.04945,0.46515,0.94338,0.97659,0.97484,0.98218,0.5536,1.45113,0.53022,1.08813,5.95e-05,5.95e-05,5.95e-05
97,13864.8,1.0548,0.46731,0.94504,0.97616,0.97316,0.982,0.55431,1.44815,0.52829,1.08714,4.96e-05,4.96e-05,4.96e-05
98,13996.4,1.04612,0.46618,0.94197,0.97696,0.97146,0.98132,0.55414,1.44693,0.52871,1.08708,3.97e-05,3.97e-05,3.97e-05
99,14129.9,1.03356,0.4554,0.9401,0.97657,0.97135,0.98129,0.5528,1.44932,0.52952,1.08791,2.98e-05,2.98e-05,2.98e-05
100,14266.4,1.0364,0.4591,0.93889,0.97489,0.97305,0.98136,0.55234,1.45083,0.52972,1.08896,1.99e-05,1.99e-05,1.99e-05
